#"time"	"OHVietnam,Epidemic Dynamic:SEIR Dynamic.E"	"OHVietnam,Epidemic Dynamic:SEIR Dynamic.I"	"OHVietnam,Epidemic Dynamic:SEIR Dynamic.R"	"OHVietnam,Epidemic Dynamic:SEIR Dynamic.S"	
0	0	0.001	0	0.999
0.1	3.52210411322412e-05	0.0010095090111001	3.51594061631942e-05	0.998955331580541
0.2	7.04441645289647e-05	0.00101910604440041	7.0197624652777e-05	0.998910696322165
0.3	0.000105669370190171	0.00102879109990093	0.000105114655468748	0.998866094224871
0.4	0.000140896658115859	0.00103856417760165	0.000139910498611108	0.998821525288659
0.5	0.00017612602830603	0.00104842527750257	0.000174585154079856	0.99877698951353
0.6	0.000211357480760683	0.0010583743996037	0.000209138621874993	0.998732486899483
0.7	0.000246591015479818	0.00106841154390504	0.000243570901996518	0.998688017446518
0.8	0.000281826632463436	0.00107853671040658	0.000277881994444431	0.998643581154636
0.9	0.000317064331711536	0.00108874989910833	0.000312071899218733	0.998599178023837
1	0.000352304113224118	0.00109905111001029	0.000346140616319424	0.998554808054119
1.1	0.000387545977001183	0.00110944034311245	0.000380088145746503	0.998510471245484
1.2	0.00042278992304273	0.00111991759841481	0.00041391448749997	0.998466167597932
1.3	0.00045803595134876	0.00113048287591738	0.000447619641579826	0.998421897111462
1.4	0.000493284061919272	0.00114113617562016	0.000481203607986071	0.998377659786074
1.5	0.000528534254754266	0.00115187749752315	0.000514666386718704	0.998333455621768
1.6	0.000563786529853743	0.00116270684162633	0.000548007977777725	0.998289284618545
1.7	0.000599040887217702	0.00117362420792973	0.000581228381163135	0.998245146776405
1.8	0.000634297326846144	0.00118462959643333	0.000614327596874934	0.998201042095347
1.9	0.000669555848739068	0.00119572300713714	0.000647305624913121	0.998156970575371
2	0.000704816452896474	0.00120690444004115	0.000680162465277696	0.998112932216477
2.1	0.000740079139318362	0.00121817389514536	0.00071289811796866	0.998068927018666
2.2	0.000775343908004733	0.00122953137244979	0.000745512582986012	0.998024954981938
2.3	0.000810610889476307	0.00124097370991751	0.000778005860069933	0.99798100629472
2.4	0.000845880143503207	0.00125249945855637	0.000810377949119933	0.997937076459341
2.5	0.000881151506023214	0.00126411259260105	0.000842628850469933	0.997893177806946
2.6	0.000916424977036329	0.00127581311205155	0.000874758564119933	0.997849310337534
2.7	0.000951700556542551	0.00128760101690787	0.000906767090069933	0.997805474051106
2.8	0.000986978244541881	0.00129947630717001	0.000938654428319933	0.99776166894766
2.9	0.00102225804103432	0.00131143865269723	0.000970420578869933	0.99771789535734
3	0.00105753982148278	0.00132348805241897	0.00100207799542839	0.997674153281213
3.1	0.0010928218627796	0.00133562461368623	0.00103379898876214	0.997630442611931
3.2	0.00112810588559979	0.00134784834896842	0.00106541149136902	0.997586763337022
3.3	0.00116339188994335	0.00136015925826552	0.00109691550324904	0.997543115456488
3.4	0.0011986798758103	0.00137255734157756	0.0011283110244022	0.997499498970329
3.5	0.00123396984320062	0.00138504259890451	0.00115959805482849	0.997455913878543
3.6	0.00126926179211431	0.00139761503024639	0.00119077659452792	0.997412360181132
3.7	0.00130455572255139	0.00141027463560319	0.00122184664350048	0.997368837878096
3.8	0.00133985163451183	0.00142302141497491	0.00125280820174618	0.997325346969433
3.9	0.00137514952799566	0.00143585536836156	0.00128366126926501	0.997281887455145
4	0.00141044940300286	0.00144877649576313	0.00131440584605698	0.997238459335231
4.1	0.00144575125953344	0.00146178479717962	0.00134504193212209	0.997195062609692
4.2	0.00148105509758739	0.00147488027261103	0.00137556952746033	0.997151697278526
4.3	0.00151636091716472	0.00148806292205737	0.00140598863207171	0.997108363341735
4.4	0.00155166871826542	0.00150133274551863	0.00143629924595622	0.997065060799319
4.5	0.0015869785008895	0.00151468974299482	0.00146650136911387	0.997021789651276
4.6	0.00162229026503696	0.00152813391448593	0.00149659500154465	0.996978549897608
4.7	0.0016576040107078	0.00154166525999196	0.00152658014324857	0.996935341538315
